iter	Passed	Remaining
445	1107	1375
446	1108	1371
447	1127	1388
448	1130	1387
449	1131	1382
450	1137	1385
451	1138	1380
452	1139	1376
453	1148	1381
454	1149	1376
455	1150	1372
456	1162	1381
457	1163	1376
458	1172	1381
459	1173	1377
460	1179	1379
461	1180	1375
462	1189	1379
463	1191	1376
464	1192	1371
465	1202	1377
466	1202	1373
467	1210	1376
468	1211	1372
469	1212	1367
470	1213	1363
471	1215	1359
472	1230	1371
473	1233	1368
474	1234	1364
475	1235	1359
476	1240	1360
477	1243	1357
478	1244	1353
479	1249	1353
480	1252	1351
481	1253	1347
482	1258	1346
483	1259	1342
484	1260	1338
485	1261	1334
486	1267	1335
487	1273	1335
488	1274	1331
489	1275	1327
490	1276	1323
491	1277	1318
492	1304	1341
493	1305	1336
494	1306	1332
495	1311	1333
496	1314	1329
497	1315	1326
498	1316	1322
499	1320	1320
500	1321	1316
501	1326	1316
502	1328	1312
503	1330	1309
504	1331	1305
505	1332	1301
506	1347	1310
507	1348	1306
508	1349	1301
509	1350	1297
510	1351	1293
511	1352	1289
512	1353	1285
513	1382	1307
514	1383	1302
515	1393	1306
516	1395	1304
517	1397	1299
518	1398	1296
519	1399	1291
520	1401	1288
521	1402	1283
522	1403	1279
523	1404	1276
524	1406	1272
525	1407	1268
526	1408	1264
527	1409	1260
528	1410	1255
529	1411	1251
530	1412	1247
531	1413	1243
532	1414	1239
533	1415	1234
534	1416	1231
535	1417	1227
536	1419	1223
537	1420	1220
538	1421	1215
539	1424	1213
540	1426	1210
541	1428	1206
542	1431	1204
543	1433	1201
544	1435	1198
545	1437	1195
546	1440	1192
547	1442	1190
548	1443	1186
549	1444	1182
550	1445	1178
551	1450	1176
552	1453	1175
553	1454	1171
554	1456	1167
555	1457	1163
556	1458	1159
557	1459	1156
558	1460	1152
559	1461	1148
560	1462	1144
561	1466	1142
562	1467	1138
563	1471	1137
564	1472	1133
565	1473	1129
566	1474	1126
567	1478	1124
568	1479	1120
569	1480	1116
570	1481	1113
571	1482	1109
572	1483	1105
573	1484	1101
574	1485	1098
575	1486	1094
576	1487	1090
577	1488	1086
578	1489	1082
579	1490	1079
580	1491	1075
581	1493	1072
582	1497	1071
583	1499	1068
584	1503	1066
585	1506	1064
586	1507	1060
587	1514	1061
588	1515	1057
589	1516	1053
590	1520	1052
591	1522	1049
592	1523	1045
593	1524	1041
594	1524	1037
595	1525	1034
596	1526	1030
597	1527	1026
598	1528	1023
599	1531	1021
600	1532	1017
601	1533	1014
602	1541	1014
603	1542	1011
604	1547	1010
605	1549	1007
606	1554	1006
607	1558	1004
608	1559	1001
609	1564	999
610	1566	997
611	1568	994
612	1569	990
613	1570	987
614	1571	983
615	1572	980
616	1573	976
617	1574	972
618	1575	969
619	1576	965
620	1577	962
621	1578	959
622	1578	955
623	1579	951
624	1580	948
625	1581	945
626	1582	941
627	1583	938
628	1584	934
629	1585	931
630	1586	927
631	1587	924
632	1588	920
633	1589	917
634	1590	913
635	1590	910
636	1592	907
637	1593	903
638	1593	900
639	1595	897
640	1595	893
641	1596	890
642	1597	887
643	1598	883
644	1600	880
645	1601	877
646	1602	874
647	1603	871
648	1604	867
649	1606	864
650	1607	861
651	1609	859
652	1611	856
653	1612	852
654	1613	849
655	1614	846
656	1614	843
657	1615	839
658	1616	836
659	1617	833
660	1618	830
661	1619	826
662	1620	823
663	1621	820
664	1622	817
665	1623	813
666	1625	811
667	1626	808
668	1627	805
669	1628	802
670	1629	798
671	1630	795
672	1631	792
673	1631	789
674	1633	786
675	1634	783
676	1634	780
677	1635	776
678	1636	773
679	1638	770
680	1639	767
681	1640	764
682	1641	761
683	1641	758
684	1642	755
685	1644	752
686	1644	749
687	1646	746
688	1647	743
689	1648	740
690	1649	737
691	1649	734
692	1650	731
693	1651	728
694	1652	725
695	1653	722
696	1654	719
697	1655	716
698	1656	713
699	1657	710
700	1658	707
701	1660	704
702	1661	701
703	1661	698
704	1663	695
705	1664	692
706	1664	689
707	1665	687
708	1666	684
709	1667	681
710	1668	678
711	1669	675
712	1670	672
713	1671	669
714	1672	666
715	1673	663
716	1674	660
717	1675	657
718	1676	655
719	1681	653
720	1687	653
721	1690	650
722	1693	648
723	1694	646
724	1696	643
725	1698	640
726	1700	638
727	1701	635
728	1702	633
729	1704	630
730	1705	627
731	1707	625
732	1708	622
733	1709	619
734	1710	616
735	1712	614
736	1713	611
737	1714	608
738	1715	605
739	1715	602
740	1716	600
741	1718	597
742	1718	594
743	1719	591
744	1720	588
745	1721	586
746	1722	583
747	1723	580
748	1724	577
749	1725	575
750	1725	572
751	1726	569
752	1727	566
753	1728	563
754	1728	560
755	1729	558
756	1730	555
757	1730	552
758	1731	549
759	1732	547
760	1732	544
761	1733	541
762	1734	538
763	1735	535
764	1735	533
765	1736	530
766	1737	527
767	1738	525
768	1739	522
769	1739	519
770	1740	516
771	1741	514
772	1742	511
773	1743	508
774	1743	506
775	1744	503
776	1745	500
777	1746	498
778	1746	495
779	1747	492
780	1748	490
781	1749	487
782	1750	485
783	1751	482
784	1751	479
785	1752	477
786	1753	474
787	1754	471
788	1755	469
789	1755	466
790	1756	464
791	1757	461
792	1758	459
793	1759	456
794	1759	453
795	1760	451
796	1761	448
797	1762	446
798	1763	443
799	1763	440
800	1764	438
801	1765	435
802	1766	433
803	1767	430
804	1768	428
805	1769	425
806	1769	423
807	1771	420
808	1772	418
809	1772	415
810	1773	413
811	1774	410
812	1781	409
813	1787	408
814	1790	406
815	1792	404
816	1795	402
817	1797	399
818	1798	397
819	1800	395
820	1802	392
821	1803	390
822	1805	388
823	1806	385
824	1807	383
825	1809	381
826	1810	378
827	1811	376
828	1812	373
829	1813	371
830	1814	369
831	1815	366
832	1816	364
833	1817	361
834	1818	359
835	1819	356
836	1820	354
837	1821	352
838	1822	349
839	1822	347
840	1824	344
841	1825	342
842	1826	340
843	1827	337
844	1827	335
845	1828	332
846	1829	330
847	1830	328
848	1830	325
849	1831	323
850	1832	320
851	1833	318
852	1834	316
853	1834	313
854	1835	311
855	1836	308
856	1837	306
857	1837	304
858	1839	301
859	1840	299
860	1841	297
861	1841	294
862	1842	292
863	1843	290
864	1844	287
865	1845	285
866	1846	283
867	1846	280
868	1847	278
869	1848	276
870	1849	273
871	1850	271
872	1851	269
873	1851	266
874	1852	264
875	1854	262
876	1855	260
877	1855	257
878	1856	255
879	1857	253
880	1858	251
881	1859	248
882	1860	246
883	1861	244
884	1861	241
885	1862	239
886	1863	237
887	1864	235
888	1865	232
889	1866	230
890	1866	228
891	1867	226
892	1868	223
893	1869	221
894	1870	219
895	1871	217
896	1872	214
897	1872	212
898	1873	210
899	1874	208
900	1875	206
901	1876	203
902	1877	201
903	1878	199
904	1879	197
905	1880	195
906	1881	192
907	1882	190
908	1883	188
909	1884	186
910	1885	184
911	1885	181
912	1886	179
913	1888	177
914	1889	175
915	1890	173
916	1890	171
917	1892	169
918	1893	166
919	1894	164
920	1895	162
921	1895	160
922	1897	158
923	1897	156
924	1898	153
925	1899	151
926	1900	149
927	1901	147
928	1902	145
929	1903	143
930	1904	141
931	1905	139
932	1906	136
933	1907	134
934	1908	132
935	1909	130
936	1910	128
937	1911	126
938	1912	124
939	1918	122
940	1924	120
941	1927	118
942	1929	116
943	1931	114
944	1933	112
945	1934	110
946	1936	108
947	1938	106
948	1939	104
949	1941	102
950	1942	100
951	1943	97
952	1944	95
953	1945	93
954	1946	91
955	1947	89
956	1948	87
957	1949	85
958	1950	83
959	1951	81
960	1952	79
961	1953	77
962	1954	75
963	1955	73
964	1956	70
965	1956	68
966	1957	66
967	1958	64
968	1959	62
969	1960	60
970	1961	58
971	1961	56
972	1962	54
973	1963	52
974	1963	50
975	1964	48
976	1965	46
977	1966	44
978	1967	42
979	1967	40
980	1968	38
981	1969	36
982	1969	34
983	1970	32
984	1971	30
985	1972	28
986	1972	25
987	1973	23
988	1974	21
989	1975	19
990	1975	17
991	1976	15
992	1977	13
993	1978	11
994	1978	9
995	1979	7
996	1980	5
997	1981	3
998	1981	1
999	1982	0
2
969	4134	127
970	4135	123
971	4141	119
972	4142	114
973	4145	110
974	4147	106
975	4148	102
976	4149	97
977	4151	93
978	4154	89
979	4157	84
980	4158	80
981	4159	76
982	4160	71
983	4160	67
984	4161	63
985	4162	59
986	4163	54
987	4164	50
988	4165	46
989	4166	42
990	4167	37
991	4168	33
992	4171	29
993	4172	25
994	4175	20
995	4180	16
996	4183	12
997	4183	8
998	4188	4
999	4189	0
